Budget,Certificate,Country,Director,Genre,Gross,IMDb_Rating,IMDb_Votes,Language,Production_Co,Release_Date,Runtime,Star,Title
150000000,                    PG,USA,Martin Scorsese,Adventure,185770160,7.5,283081,English, Paramount Pictures,23 November 2011 (USA),126 min,Asa Butterfield,Hugo (2011) 
110000000,                    PG-13,USA,Shawn Levy,Action,299268508,7.1,282152,English, DreamWorks,7 October 2011 (USA),127 min,Hugh Jackman,Real Steel (2011) 
200000000,                    PG-13,USA,Martin Campbell,Action,219851172,5.5,250426,English, Warner Bros.,17 June 2011 (USA),114 min,Ryan Reynolds,Green Lantern (2011) 
32500000,                    R,USA,Paul Feig,Comedy,288383523,6.8,247793,English, Universal Pictures,13 May 2011 (USA),125 min,Kristen Wiig,Bridesmaids (2011) 
30000000,                    PG-13,UK,Jaume Collet-Serra,Action,136123083,6.9,233910,English, Dark Castle Entertainment,18 February 2011 (USA),113 min,Liam Neeson,Unknown (2011) 
25000000,                    R,USA,Joe Carnahan,Action,84339696,6.8,227497,English, Open Road Films (II),27 January 2012 (USA),117 min,Liam Neeson,The Grey (2011) 
50200000,                    PG-13,USA,George Nolfi,Romance,127869379,7.1,226037,English, Universal Pictures,4 March 2011 (USA),106 min,Matt Damon,The Adjustment Bureau (2011) 
150000000,                    PG,USA,Jennifer Yuh Nelson,Animation,665692281,7.2,225458,English, DreamWorks Animation,26 May 2011 (USA),90 min,Jack Black,Kung Fu Panda 2 (2011) 
20000000,                    R,USA,Alexander Payne,Comedy,177243185,7.3,222642,English, Fox Searchlight Pictures,9 December 2011 (USA),115 min,George Clooney,The Descendants (2011) 
40000000,                    R,USA,Greg Mottola,Animation,101162106,7,218852,English, Universal Pictures,18 March 2011 (USA),104 min,Simon Pegg,Paul (2011) 
82000000,                    PG-13,USA,Zack Snyder,Action,89792502,6.1,217263,English, Warner Bros.,25 March 2011 (USA),110 min,Emily Browning,Sucker Punch (2011) 
60000000,                    PG-13,USA,D.J. Caruso,Action,149878437,6.1,216425,English, DreamWorks,18 February 2011 (USA),111 min,Alex Pettyfer,I Am Number Four (2011) 
15000000,                    PG-13,France,Michel Hazanavicius,Comedy,133432856,7.9,216091,English, Studio 37,20 January 2012 (USA),100 min,Jean Dujardin,The Artist (2011) 
135000000,                    PG,USA,Gore Verbinski,Animation,245724603,7.2,213893,English, Paramount Pictures,4 March 2011 (USA),107 min,Johnny Depp,Rango (2011) 
110000000,                    PG-13,USA,Bill Condon,Adventure,712171856,4.9,206662,English, Summit Entertainment,18 November 2011 (USA),117 min,Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 1 (2011) 
12500000,                    R,USA,George Clooney,Drama,75993061,7.1,206601,English, Columbia Pictures,7 October 2011 (USA),101 min,Paul Giamatti,The Ides of March (2011) 
135000000,                    PG,USA,Steven Spielberg,Animation,373993951,7.3,201075,English, Columbia Pictures,21 December 2011 (USA),107 min,Jamie Bell,The Adventures of Tintin (2011) 
60000000,                    PG-13,USA,Steven Soderbergh,Action,135458097,6.6,200347,English, Warner Bros.,9 September 2011 (USA),106 min,Matt Damon,Contagion (2011) 
80000000,                    PG-13,USA,Dennis Dugan,Comedy,214945591,6.4,199203,English, Columbia Pictures,11 February 2011 (USA),117 min,Adam Sandler,Just Go with It (2011) 
25000000,                    R,USA,Ivan Reitman,Comedy,149228077,6.2,196209,English, Paramount Pictures,21 January 2011 (USA),108 min,Natalie Portman,No Strings Attached (2011) 
40000000,                    R,USA,Brad Furman,Crime,87145086,7.3,194956,English, Lionsgate,18 March 2011 (USA),118 min,Matthew McConaughey,The Lincoln Lawyer (2011) 
163000000,                    PG-13,USA,Jon Favreau,Action,174822325,6,194660,English, Universal Pictures,29 July 2011 (USA),119 min,Daniel Craig,Cowboys & Aliens (2011) 
500000,                    PG-13,Iran,Asghar Farhadi,Drama,24426169,8.3,193199,Persian, Asghar Farhadi Productions,16 March 2011 (Iran),123 min,Payman Maadi,A Separation (2011) 
250000000,                    PG-13,UK,Christopher Nolan,Action,1084939099,8.4,1370841,English, Warner Bros.,20 July 2012 (USA),164 min,Christian Bale,The Dark Knight Rises (2012) 
100000000,                    R,USA,Quentin Tarantino,Drama,425368238,8.4,1194467,English, The Weinstein Company,25 December 2012 (USA),165 min,Jamie Foxx,Django Unchained (2012) 
220000000,                    PG-13,USA,Joss Whedon,Action,1519557910,8.1,1160157,English, Marvel Studios,4 May 2012 (USA),143 min,Robert Downey Jr.,The Avengers (2012) 
78000000,                    PG-13,USA,Gary Ross,Action,694394724,7.2,789998,English, Lionsgate,23 March 2012 (USA),142 min,Jennifer Lawrence,The Hunger Games (2012) 
180000000,                    PG-13,USA,Peter Jackson,Adventure,1021103568,7.9,715548,English, Metro-Goldwyn-Mayer (MGM),14 December 2012 (USA),169 min,Martin Freeman,The Hobbit: An Unexpected Journey (2012) 
21000000,                    R,USA,David O. Russell,Comedy,236412453,7.7,617214,English, The Weinstein Company,25 December 2012 (USA),122 min,Bradley Cooper,Silver Linings Playbook (2012) 
